ダウンロードした時刻：2025/02/03 07:47:02

,東京
年月,平均気温(℃)
2023/1,5.7
2023/2,7.3
2023/3,12.9
2023/4,16.3
2023/5,19.0
2023/6,23.2
2023/7,28.7
2023/8,29.2
2023/9,26.7
2023/10,18.9
2023/11,14.4
2023/12,9.4
2024/1,7.1
